Time, Raw (V),
2024-Mar-7 16:30:23, 3.132,
2024-Mar-7 16:30:23, 3.122,
2024-Mar-7 16:30:23, 3.137,
2024-Mar-7 16:30:23, 3.072,
2024-Mar-7 16:30:23, 3.105,
2024-Mar-7 16:30:23, 3.107,
2024-Mar-7 16:30:23, 3.089,
2024-Mar-7 16:30:23, 3.233,
2024-Mar-7 16:30:23, 3.057,
2024-Mar-7 16:30:23, 3.122,
2024-Mar-7 16:30:23, 3.136,
2024-Mar-7 16:30:23, 3.125,
2024-Mar-7 16:30:23, 3.157,
2024-Mar-7 16:30:23, 3.067,
2024-Mar-7 16:30:23, 3.015,
2024-Mar-7 16:30:23, 3.198,
2024-Mar-7 16:30:23, 3.088,
2024-Mar-7 16:30:23, 3.111,
2024-Mar-7 16:30:23, 3.135,
2024-Mar-7 16:30:23, 2.991,
2024-Mar-7 16:30:23, 3.140,
2024-Mar-7 16:30:23, 3.114,
2024-Mar-7 16:30:23, 3.147,
2024-Mar-7 16:30:23, 3.136,
2024-Mar-7 16:30:23, 3.144,
2024-Mar-7 16:30:23, 3.184,
2024-Mar-7 16:30:23, 3.104,
2024-Mar-7 16:30:23, 3.129,
2024-Mar-7 16:30:23, 2.988,
2024-Mar-7 16:30:23, 3.134,
2024-Mar-7 16:30:23, 3.101,
2024-Mar-7 16:30:23, 3.161,
2024-Mar-7 16:30:23, 3.095,
2024-Mar-7 16:30:23, 3.041,
2024-Mar-7 16:30:23, 3.126,
2024-Mar-7 16:30:23, 3.185,
2024-Mar-7 16:30:23, 3.043,
2024-Mar-7 16:30:23, 3.141,
2024-Mar-7 16:30:23, 3.095,
2024-Mar-7 16:30:23, 3.026,
2024-Mar-7 16:30:23, 3.276,
2024-Mar-7 16:30:23, 3.106,
2024-Mar-7 16:30:23, 3.199,
2024-Mar-7 16:30:23, 3.165,
2024-Mar-7 16:30:23, 3.201,
2024-Mar-7 16:30:23, 3.072,
2024-Mar-7 16:30:23, 3.161,
2024-Mar-7 16:30:23, 3.101,
2024-Mar-7 16:30:23, 3.154,
2024-Mar-7 16:30:24, 3.109,
2024-Mar-7 16:30:24, 3.186,
2024-Mar-7 16:30:24, 3.236,
2024-Mar-7 16:30:24, 2.904,
2024-Mar-7 16:30:24, 3.174,
2024-Mar-7 16:30:24, 3.192,
2024-Mar-7 16:30:24, 3.068,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.096,
2024-Mar-7 16:30:24, 3.210,
2024-Mar-7 16:30:24, 3.146,
2024-Mar-7 16:30:24, 3.081,
2024-Mar-7 16:30:24, 3.116,
2024-Mar-7 16:30:24, 3.069,
2024-Mar-7 16:30:24, 3.157,
2024-Mar-7 16:30:24, 3.192,
2024-Mar-7 16:30:24, 3.120,
2024-Mar-7 16:30:24, 3.148,
2024-Mar-7 16:30:24, 3.178,
2024-Mar-7 16:30:24, 3.117,
2024-Mar-7 16:30:24, 3.272,
2024-Mar-7 16:30:24, 3.123,
2024-Mar-7 16:30:24, 3.120,
2024-Mar-7 16:30:24, 3.012,
2024-Mar-7 16:30:24, 3.207,
2024-Mar-7 16:30:24, 3.153,
2024-Mar-7 16:30:24, 3.150,
2024-Mar-7 16:30:24, 3.128,
2024-Mar-7 16:30:24, 3.109,
2024-Mar-7 16:30:24, 3.214,
2024-Mar-7 16:30:24, 3.183,
2024-Mar-7 16:30:24, 3.162,
2024-Mar-7 16:30:24, 3.196,
2024-Mar-7 16:30:24, 3.105,
2024-Mar-7 16:30:24, 3.189,
2024-Mar-7 16:30:24, 3.232,
2024-Mar-7 16:30:24, 3.169,
2024-Mar-7 16:30:24, 3.211,
2024-Mar-7 16:30:24, 3.187,
2024-Mar-7 16:30:24, 3.107,
2024-Mar-7 16:30:24, 3.159,
2024-Mar-7 16:30:24, 3.086,
2024-Mar-7 16:30:24, 3.227,
2024-Mar-7 16:30:24, 3.205,
2024-Mar-7 16:30:24, 3.171,
2024-Mar-7 16:30:24, 3.053,
2024-Mar-7 16:30:24, 3.157,
2024-Mar-7 16:30:24, 3.248,
2024-Mar-7 16:30:24, 3.140,
2024-Mar-7 16:30:24, 3.184,
2024-Mar-7 16:30:24, 3.191,
2024-Mar-7 16:30:24, 3.199,
2024-Mar-7 16:30:24, 3.178,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.061,
2024-Mar-7 16:30:24, 3.173,
2024-Mar-7 16:30:24, 3.145,
2024-Mar-7 16:30:24, 3.132,
2024-Mar-7 16:30:24, 3.121,
2024-Mar-7 16:30:24, 3.226,
2024-Mar-7 16:30:24, 3.197,
2024-Mar-7 16:30:24, 3.282,
2024-Mar-7 16:30:24, 3.173,
2024-Mar-7 16:30:24, 3.203,
2024-Mar-7 16:30:24, 3.170,
2024-Mar-7 16:30:24, 3.195,
2024-Mar-7 16:30:24, 3.196,
2024-Mar-7 16:30:24, 3.186,
2024-Mar-7 16:30:24, 3.210,
2024-Mar-7 16:30:24, 3.179,
2024-Mar-7 16:30:24, 3.158,
2024-Mar-7 16:30:24, 3.227,
2024-Mar-7 16:30:24, 3.172,
2024-Mar-7 16:30:24, 3.203,
2024-Mar-7 16:30:24, 3.184,
2024-Mar-7 16:30:24, 3.269,
2024-Mar-7 16:30:24, 3.161,
2024-Mar-7 16:30:24, 3.230,
2024-Mar-7 16:30:24, 3.240,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.261,
2024-Mar-7 16:30:24, 3.163,
2024-Mar-7 16:30:24, 3.202,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.045,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.290,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.261,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 2.887,
2024-Mar-7 16:30:24, 3.299,
2024-Mar-7 16:30:24, 3.132,
2024-Mar-7 16:30:24, 3.236,
2024-Mar-7 16:30:24, 3.197,
2024-Mar-7 16:30:24, 3.217,
2024-Mar-7 16:30:24, 3.214,
2024-Mar-7 16:30:24, 3.169,
2024-Mar-7 16:30:24, 3.248,
2024-Mar-7 16:30:24, 3.236,
2024-Mar-7 16:30:24, 3.196,
2024-Mar-7 16:30:24, 3.186,
2024-Mar-7 16:30:24, 3.210,
2024-Mar-7 16:30:24, 3.261,
2024-Mar-7 16:30:24, 3.228,
2024-Mar-7 16:30:24, 3.153,
2024-Mar-7 16:30:24, 3.228,
2024-Mar-7 16:30:24, 3.160,
2024-Mar-7 16:30:24, 3.188,
2024-Mar-7 16:30:24, 3.194,
2024-Mar-7 16:30:24, 3.236,
2024-Mar-7 16:30:24, 3.210,
